,iteration,train_loss,test_loss
0,0.0,10.909250259399414,10.911639213562012
1,500.0,6.2585601806640625,6.26431131362915
2,1000.0,4.46971321105957,4.480971336364746
3,1500.0,3.7970900535583496,3.800847053527832
4,2000.0,3.457219123840332,3.4466400146484375
5,2500.0,3.215517044067383,3.223536491394043
6,3000.0,3.0758657455444336,3.0407979488372803
7,3500.0,2.905975341796875,2.910231590270996
8,4000.0,2.8354244232177734,2.839134454727173
9,4500.0,2.7356209754943848,2.7337911128997803
10,5000.0,2.6344056129455566,2.659356117248535
11,5500.0,2.6189687252044678,2.622732162475586
12,6000.0,2.5460243225097656,2.538856267929077
13,6500.0,2.503551721572876,2.485224962234497
14,7000.0,2.4777755737304688,2.4861459732055664
15,7500.0,2.438716173171997,2.4555282592773438
16,8000.0,2.4237594604492188,2.4088006019592285
17,8500.0,2.369265556335449,2.392935037612915
18,9000.0,2.3622379302978516,2.3805198669433594
19,9500.0,2.382786273956299,2.3503334522247314
20,10000.0,2.334707260131836,2.343878984451294
21,10500.0,2.317983627319336,2.317356824874878
22,11000.0,2.303013563156128,2.280172109603882
23,11500.0,2.2623140811920166,2.2744147777557373
24,12000.0,2.2677767276763916,2.2833216190338135
25,12500.0,2.2478933334350586,2.274681568145752
26,13000.0,2.2282445430755615,2.2379140853881836
27,13500.0,2.217919111251831,2.220414638519287
28,14000.0,2.2182815074920654,2.2322771549224854
29,14500.0,2.2083775997161865,2.215348720550537
30,15000.0,2.189115047454834,2.221985340118408
31,15500.0,2.190875768661499,2.1723482608795166
32,16000.0,2.1982641220092773,2.1696763038635254
33,16500.0,2.1634154319763184,2.1794419288635254
34,17000.0,2.155299186706543,2.1604769229888916
35,17500.0,2.146825075149536,2.1438775062561035
36,18000.0,2.150059461593628,2.1367552280426025
37,18500.0,2.125359296798706,2.1457457542419434
38,19000.0,2.12418794631958,2.1431665420532227
39,19500.0,2.119650363922119,2.131498336791992
40,20000.0,2.13103985786438,2.149683713912964
41,20500.0,2.126335859298706,2.131154775619507
42,21000.0,2.103703022003174,2.1090238094329834
43,21500.0,2.0891098976135254,2.122453212738037
44,22000.0,2.078392267227173,2.0787384510040283
45,22500.0,2.0951876640319824,2.111341953277588
46,23000.0,2.0808777809143066,2.0967352390289307
47,23500.0,2.0749661922454834,2.070152997970581
48,24000.0,2.0665290355682373,2.0857131481170654
49,24500.0,2.0713696479797363,2.0739550590515137
50,25000.0,2.0693869590759277,2.066312789916992
51,25500.0,2.0621531009674072,2.064654588699341
52,26000.0,2.0509438514709473,2.0422284603118896
53,26500.0,2.0402095317840576,2.047316551208496
54,27000.0,2.0309526920318604,2.06178617477417
55,27500.0,2.061673164367676,2.041400194168091
56,28000.0,2.0408401489257812,2.0115389823913574
57,28500.0,2.0428733825683594,2.05135440826416
58,29000.0,2.053751230239868,2.050159454345703
59,29500.0,2.0462024211883545,2.036997079849243
60,30000.0,2.0202817916870117,2.0433096885681152
61,30500.0,2.0108728408813477,2.0462331771850586
62,31000.0,2.031646490097046,2.017503023147583
63,31500.0,2.0183494091033936,2.0137345790863037
64,32000.0,2.0024917125701904,2.018394708633423
65,32500.0,2.0217087268829346,2.0185511112213135
66,33000.0,2.028099298477173,2.0181429386138916
67,33500.0,1.9824289083480835,2.0157225131988525
68,34000.0,2.0021157264709473,2.028639793395996
69,34500.0,1.9856345653533936,1.9981307983398438
70,35000.0,1.9951821565628052,2.020339250564575
71,35500.0,1.9955404996871948,1.9997429847717285
72,36000.0,1.9922550916671753,2.013629913330078
73,36500.0,1.9992560148239136,2.0268948078155518
74,37000.0,1.9882861375808716,1.9996249675750732
75,37500.0,1.9819962978363037,1.9885084629058838
76,38000.0,1.9896795749664307,1.978567361831665
77,38500.0,1.9886571168899536,2.008692979812622
78,39000.0,1.9735413789749146,1.968316674232483
79,39500.0,1.9864561557769775,1.996415376663208
80,40000.0,1.96956467628479,1.982096552848816
81,40500.0,1.9830000400543213,1.9933881759643555
82,41000.0,1.9768933057785034,1.9772831201553345
83,41500.0,1.9737536907196045,1.974495530128479
84,42000.0,1.9541265964508057,1.9666279554367065
85,42500.0,1.9791733026504517,1.945621371269226
86,43000.0,1.97542142868042,1.9790416955947876
87,43500.0,1.9587206840515137,1.9840601682662964
88,44000.0,1.9543017148971558,1.9605029821395874
89,44500.0,1.943616509437561,1.981339693069458
90,45000.0,1.9461276531219482,1.9653629064559937
91,45500.0,1.96226167678833,1.9563766717910767
92,46000.0,1.9658839702606201,1.974596381187439
93,46500.0,1.9326869249343872,1.9473532438278198
94,47000.0,1.9369982481002808,1.9649291038513184
95,47500.0,1.9250500202178955,1.9403235912322998
96,48000.0,1.933046579360962,1.9552944898605347
97,48500.0,1.9335353374481201,1.9705063104629517
98,49000.0,1.9262586832046509,1.9549201726913452
99,49500.0,1.9349819421768188,1.9540741443634033
100,50000.0,1.9238290786743164,1.913960576057434
